?t, $r, <ep, >d, <np, $ept, $ts, $nprod, $ps, $paR, $sdR, $aR, $co, $to
0, 286.89, 5, 32.68, 9, 0.02, 7.01, 0.55, 0.0, 0, 15.2, 0.12, 30.8, 0.25
1, 271.69, 5.12, 47.88, 8.88, 0.02, 7.01, 0.55, 8.68, 0, 10.48, 0.12, 30.8, 0.25
2, 261.21, 5.25, 58.36, 8.75, 0.02, 7.01, 0.55, 17.36, 0, 10.68, 0.12, 30.8, 0.25
3, 250.53, 5.37, 69.04, 8.63, 0.02, 7.01, 0.55, 26.04, 0, 10.88, 0.12, 30.8, 0.25
4, 239.66, 5.49, 79.91, 8.51, 0.02, 7.01, 0.55, 34.72, 0, 11.07, 0.12, 30.8, 0.25
5, 228.59, 5.6, 90.98, 8.4, 0.02, 7.01, 0.55, 43.4, 0, 11.26, 0.12, 30.8, 0.25
6, 217.32, 5.72, 102.25, 8.28, 0.02, 7.01, 0.55, 52.08, 0, 11.45, 0.11, 30.8, 0.25
7, 205.87, 5.83, 111.45, 8.17, 0.02, 7.01, 0.55, 60.76, 0, 11.64, 0.11, 30.8, 0.25
8, 194.22, 5.95, 111.64, 8.05, 0.02, 7.01, 0.55, 69.44, 0, 11.83, 0.11, 30.8, 0.25
9, 182.4, 6.06, 111.83, 7.94, 0.02, 7.01, 0.55, 78.12, 0, 12.01, 0.11, 30.8, 0.25
10, 170.39, 6.17, 112.01, 7.83, 0.02, 7.01, 0.55, 86.8, 0, 12.19, 0.11, 30.8, 0.25
